idx,split,steps,strength,cfg_scale,panel_path,clip_predimg_predtxt,clip_predimg_gttxt
0,train,10,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.020_cfg1.00.png,0.24404962360858917,0.19394156336784363
0,train,10,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.020_cfg3.00.png,0.20348204672336578,0.1831008940935135
0,train,10,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.020_cfg5.00.png,0.27516406774520874,0.1957729011774063
0,train,10,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.020_cfg7.00.png,0.22615604102611542,0.19815827906131744
0,train,10,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.050_cfg1.00.png,0.23645365238189697,0.20845681428909302
0,train,10,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.050_cfg3.00.png,0.23395368456840515,0.18312489986419678
0,train,10,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.050_cfg5.00.png,0.2768375277519226,0.20370259881019592
0,train,10,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.050_cfg7.00.png,0.23977646231651306,0.20134198665618896
0,train,10,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.100_cfg1.00.png,0.19303804636001587,0.18730556964874268
0,train,10,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.100_cfg3.00.png,0.24288445711135864,0.19866888225078583
0,train,10,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.100_cfg5.00.png,0.23898205161094666,0.17728596925735474
0,train,10,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps10_str0.100_cfg7.00.png,0.27689966559410095,0.20210376381874084
0,train,20,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.020_cfg1.00.png,0.2408917248249054,0.17799893021583557
0,train,20,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.020_cfg3.00.png,0.1950615793466568,0.162085622549057
0,train,20,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.020_cfg5.00.png,0.25790783762931824,0.17641857266426086
0,train,20,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.020_cfg7.00.png,0.24932919442653656,0.1969769299030304
0,train,20,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.050_cfg1.00.png,0.22791068255901337,0.17816315591335297
0,train,20,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.050_cfg3.00.png,0.19146797060966492,0.18348734080791473
0,train,20,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.050_cfg5.00.png,0.2444479614496231,0.2404657006263733
0,train,20,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.050_cfg7.00.png,0.25348490476608276,0.2100173383951187
0,train,20,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.100_cfg1.00.png,0.23396027088165283,0.1936916708946228
0,train,20,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.100_cfg3.00.png,0.19875308871269226,0.169583261013031
0,train,20,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.100_cfg5.00.png,0.25084179639816284,0.2145106941461563
0,train,20,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps20_str0.100_cfg7.00.png,0.22934457659721375,0.1960381269454956
0,train,30,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.020_cfg1.00.png,0.2605736255645752,0.1981082409620285
0,train,30,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.020_cfg3.00.png,0.22781330347061157,0.17907176911830902
0,train,30,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.020_cfg5.00.png,0.2593473494052887,0.215373694896698
0,train,30,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.020_cfg7.00.png,0.24956679344177246,0.21145740151405334
0,train,30,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.050_cfg1.00.png,0.19014789164066315,0.15704484283924103
0,train,30,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.050_cfg3.00.png,0.2457905411720276,0.17748349905014038
0,train,30,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.050_cfg5.00.png,0.23047813773155212,0.16539090871810913
0,train,30,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.050_cfg7.00.png,0.2333812564611435,0.19422659277915955
0,train,30,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.100_cfg1.00.png,0.2599102258682251,0.20305708050727844
0,train,30,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.100_cfg3.00.png,0.20273122191429138,0.15284228324890137
0,train,30,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.100_cfg5.00.png,0.2334267944097519,0.2045356035232544
0,train,30,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx0_steps30_str0.100_cfg7.00.png,0.25269609689712524,0.20181474089622498
5,train,10,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.020_cfg1.00.png,0.2627362906932831,0.21720382571220398
5,train,10,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.020_cfg3.00.png,0.21926578879356384,0.21459144353866577
5,train,10,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.020_cfg5.00.png,0.21509361267089844,0.20341169834136963
5,train,10,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.020_cfg7.00.png,0.2674551010131836,0.2060004472732544
5,train,10,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.050_cfg1.00.png,0.20139560103416443,0.18868479132652283
5,train,10,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.050_cfg3.00.png,0.2172611653804779,0.2063843309879303
5,train,10,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.050_cfg5.00.png,0.245924174785614,0.22346177697181702
5,train,10,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.050_cfg7.00.png,0.2541526257991791,0.21134024858474731
5,train,10,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.100_cfg1.00.png,0.2077450007200241,0.21913155913352966
5,train,10,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.100_cfg3.00.png,0.22680720686912537,0.2102610021829605
5,train,10,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.100_cfg5.00.png,0.24137941002845764,0.18614733219146729
5,train,10,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps10_str0.100_cfg7.00.png,0.24309834837913513,0.1858697235584259
5,train,20,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.020_cfg1.00.png,0.22585447132587433,0.2043229043483734
5,train,20,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.020_cfg3.00.png,0.2635042369365692,0.2188376486301422
5,train,20,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.020_cfg5.00.png,0.23185423016548157,0.1895989179611206
5,train,20,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.020_cfg7.00.png,0.2415890097618103,0.203274667263031
5,train,20,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.050_cfg1.00.png,0.22078657150268555,0.18553470075130463
5,train,20,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.050_cfg3.00.png,0.20305967330932617,0.19546183943748474
5,train,20,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.050_cfg5.00.png,0.20310842990875244,0.21560782194137573
5,train,20,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.050_cfg7.00.png,0.2750127613544464,0.2047521471977234
5,train,20,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.100_cfg1.00.png,0.18397608399391174,0.20881931483745575
5,train,20,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.100_cfg3.00.png,0.22487998008728027,0.2107834815979004
5,train,20,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.100_cfg5.00.png,0.2590267062187195,0.21072086691856384
5,train,20,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps20_str0.100_cfg7.00.png,0.23641297221183777,0.2004668414592743
5,train,30,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.020_cfg1.00.png,0.23319374024868011,0.21755611896514893
5,train,30,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.020_cfg3.00.png,0.2356504499912262,0.1929408609867096
5,train,30,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.020_cfg5.00.png,0.2207094430923462,0.16223233938217163
5,train,30,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.020_cfg7.00.png,0.21249806880950928,0.18973734974861145
5,train,30,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.050_cfg1.00.png,0.2180326282978058,0.18745891749858856
5,train,30,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.050_cfg3.00.png,0.19798406958580017,0.19965170323848724
5,train,30,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.050_cfg5.00.png,0.2382262945175171,0.18803030252456665
5,train,30,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.050_cfg7.00.png,0.23369890451431274,0.21559512615203857
5,train,30,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.100_cfg1.00.png,0.23791882395744324,0.1984657347202301
5,train,30,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.100_cfg3.00.png,0.20619674026966095,0.18733467161655426
5,train,30,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.100_cfg5.00.png,0.24497362971305847,0.19057509303092957
5,train,30,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx5_steps30_str0.100_cfg7.00.png,0.2209339141845703,0.2064618319272995
10,train,10,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.020_cfg1.00.png,0.2258496880531311,0.19037151336669922
10,train,10,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.020_cfg3.00.png,0.2360014021396637,0.21394304931163788
10,train,10,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.020_cfg5.00.png,0.26000940799713135,0.21061773598194122
10,train,10,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.020_cfg7.00.png,0.2508159875869751,0.2024812400341034
10,train,10,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.050_cfg1.00.png,0.21642009913921356,0.19090865552425385
10,train,10,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.050_cfg3.00.png,0.23527812957763672,0.18729877471923828
10,train,10,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.050_cfg5.00.png,0.2671550214290619,0.2012060284614563
10,train,10,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.050_cfg7.00.png,0.2402045726776123,0.20925728976726532
10,train,10,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.100_cfg1.00.png,0.24996770918369293,0.21866875886917114
10,train,10,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.100_cfg3.00.png,0.23095637559890747,0.193564772605896
10,train,10,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.100_cfg5.00.png,0.22369468212127686,0.14725837111473083
10,train,10,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps10_str0.100_cfg7.00.png,0.22986844182014465,0.19250744581222534
10,train,20,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.020_cfg1.00.png,0.2096031904220581,0.17827877402305603
10,train,20,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.020_cfg3.00.png,0.267730712890625,0.2110138237476349
10,train,20,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.020_cfg5.00.png,0.20918753743171692,0.18542087078094482
10,train,20,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.020_cfg7.00.png,0.22696968913078308,0.2191077172756195
10,train,20,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.050_cfg1.00.png,0.20969755947589874,0.2232399582862854
10,train,20,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.050_cfg3.00.png,0.18404164910316467,0.1785830557346344
10,train,20,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.050_cfg5.00.png,0.2453397959470749,0.20799994468688965
10,train,20,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.050_cfg7.00.png,0.23635414242744446,0.2351309359073639
10,train,20,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.100_cfg1.00.png,0.24396532773971558,0.219323068857193
10,train,20,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.100_cfg3.00.png,0.1955992877483368,0.17282329499721527
10,train,20,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.100_cfg5.00.png,0.23307350277900696,0.20775622129440308
10,train,20,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps20_str0.100_cfg7.00.png,0.2677720785140991,0.22285154461860657
10,train,30,0.02,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.020_cfg1.00.png,0.20116689801216125,0.2023218870162964
10,train,30,0.02,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.020_cfg3.00.png,0.22381548583507538,0.17457666993141174
10,train,30,0.02,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.020_cfg5.00.png,0.22741486132144928,0.2112647294998169
10,train,30,0.02,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.020_cfg7.00.png,0.2228100299835205,0.20671100914478302
10,train,30,0.05,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.050_cfg1.00.png,0.2219047248363495,0.20002448558807373
10,train,30,0.05,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.050_cfg3.00.png,0.23049196600914001,0.20248818397521973
10,train,30,0.05,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.050_cfg5.00.png,0.2680651545524597,0.256816029548645
10,train,30,0.05,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.050_cfg7.00.png,0.2500843107700348,0.23433199524879456
10,train,30,0.1,1.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.100_cfg1.00.png,0.24290429055690765,0.21097324788570404
10,train,30,0.1,3.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.100_cfg3.00.png,0.2632523775100708,0.1769697070121765
10,train,30,0.1,5.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.100_cfg5.00.png,0.253318727016449,0.2128020077943802
10,train,30,0.1,7.0,/content/drive/MyDrive/Mutimodal_Sequential_prediction/results/ablations/idx10_steps30_str0.100_cfg7.00.png,0.2231169044971466,0.22913578152656555
